sp	Musca	Arma	Porc	Pard	Carab
ver_t	1	0	1	0	0
ver_t	1	1	1	0	0
ver_t	1	1	1	1	0
ver_t	1	0	1	1	0
ver_t	1	0	1	1	0
ver_t	1	0	0	0	0
ver_t	1	0	0	0	0
ver_t	1	0	1	0	0
ver_t	1	0	1	1	0
ver_t	1	0	1	1	0
ver_t	1	1	1	0	0
ver_t	1	1	1	1	0
ver_t	1	0	1	0	1
ver_t	1	0	1	0	1
ver_t	1	0	1	1	0
ver_t	1	0	1	1	0
ver_t	1	0	0	1	0
ver_t	1	0	0	1	0
ver_t	1	0	1	1	0
ver_t	1	0	0	1	0
mac_t	1	1	1	0	0
mac_t	1	0	1	0	0
mac_t	1	1	1	0	0
mac_t	1	0	1	1	0
mac_t	1	0	1	0	0
mac_t	1	1	1	0	0
mac_t	0	0	1	0	1
mac_t	1	0	0	0	0
mac_t	1	1	1	0	0
mac_t	0	0	1	0	0
mac_t	1	0	1	0	0
mac_t	0	1	1	0	0
mac_t	1	1	1	1	0
mac_t	0	1	1	0	0
mac_t	1	0	1	0	1
mac_t	1	0	1	1	0
mac_t	1	1	1	1	0
mac_t	0	0	0	0	0
mac_t	0	0	1	0	0
cri_t	1	0	1	0	0
cri_t	0	0	1	0	0
cri_t	1	1	0	1	0
cri_t	1	0	1	0	0
cri_t	1	1	1	0	0
cri_t	1	1	1	1	0
cri_t	1	1	1	0	0
cri_t	1	0	1	1	0
cri_t	0	0	1	0	0
cri_t	0	0	1	0	0
cri_t	1	0	1	0	0
cri_t	1	0	1	1	0
cri_t	0	0	0	0	0
cri_t	1	0	1	1	0
cri_t	1	1	1	1	0
cri_t	1	0	1	1	0
cri_t	1	0	1	1	0
cri_t	1	1	1	1	0
cri_t	0	0	1	1	0
cri_t	1	1	1	1	0
gom_g	0	1	1	1	0
gom_g	1	1	1	1	0
gom_g	1	0	1	1	0
gom_g	0	1	1	0	0
gom_g	0	0	1	0	0
gom_g	1	1	1	0	0
gom_g	0	0	1	1	0
gom_g	1	0	1	0	0
gom_g	0	1	1	0	0
gom_g	0	0	1	1	0
gom_g	0	0	1	0	0
gom_g	0	1	1	0	0
gom_g	1	1	1	0	0
gom_g	0	0	1	1	0
gom_g	1	0	1	0	0
gom_g	0	1	1	1	0
gom_g	1	1	1	1	0
gom_g	1	1	1	1	0
gom_g	1	1	1	0	0
sil_g	1	0	1	1	0
sil_g	1	0	1	1	0
sil_g	1	1	1	1	0
sil_g	1	0	1	0	0
sil_g	1	0	1	1	0
sil_g	1	0	1	1	0
sil_g	1	1	1	0	0
sil_g	1	1	1	1	0
sil_g	1	0	1	1	0
sil_g	1	0	1	1	0
sil_g	1	0	0	1	0
sil_g	1	0	1	1	0
sil_g	1	1	1	1	0
sil_g	1	1	1	0	0
sil_g	1	0	0	1	1
sil_g	1	0	1	1	0
sil_g	1	0	1	1	0
sil_g	1	0	1	1	0
sil_g	1	0	1	1	0
sil_g	1	0	1	1	0
ram_g	0	0	1	0	0
ram_g	0	0	0	0	0
ram_g	1	0	1	0	0
ram_g	0	0	0	0	0
ram_g	0	0	1	0	0
ram_g	0	0	1	0	0
ram_g	0	0	1	0	0
ram_g	0	0	1	0	0
ram_g	0	0	1	1	0
ram_g	1	0	1	0	0
ram_g	0	1	1	0	0
ram_g	0	0	1	0	0
ram_g	1	1	1	0	0
ram_g	0	0	1	0	0
ram_g	0	0	0	0	0
ram_g	0	1	1	0	0
ram_g	0	0	1	0	0
ram_g	0	1	1	0	0
ram_g	0	0	1	0	0
ram_g	0	0	1	1	0
ale_l	0	0	0	1	0
ale_l	1	1	1	1	1
ale_l	1	0	0	1	0
ale_l	1	0	1	1	1
ale_l	1	1	1	1	1
ale_l	1	1	1	1	0
ale_l	1	0	1	1	0
ale_l	1	0	1	1	0
ale_l	1	1	1	0	0
ale_l	1	1	1	0	0
ale_l	1	0	1	1	1
ale_l	1	1	1	1	1
ale_l	1	0	1	0	0
ale_l	1	1	1	0	0
ale_l	1	0	1	1	0
ale_l	1	0	1	0	0
rug_c	1	0	0	0	0
rug_c	1	0	0	0	0
rug_c	1	1	1	1	0
rug_c	1	0	0	0	0
rug_c	1	0	0	0	0
rug_c	1	0	1	0	0
rug_c	1	0	0	0	0
rug_c	0	0	0	0	0
rug_c	1	0	1	0	1
rug_c	1	1	1	1	0
rug_c	1	0	0	0	0
rug_c	1	0	0	0	0
rug_c	1	0	0	0	0
rug_c	1	1	0	1	0
rug_c	1	0	1	1	1
rug_c	1	1	1	0	0
rug_c	1	0	0	1	0
rug_c	0	0	0	0	0
rug_c	1	1	0	1	0
nes_l	1	0	1	1	1
nes_l	1	1	1	0	0
nes_l	1	1	1	1	0
nes_l	1	1	1	1	0
nes_l	1	0	1	1	0
nes_l	1	0	1	1	0
nes_l	1	0	1	1	0
nes_l	1	0	1	1	0
nes_l	1	1	1	1	0
nes_l	1	1	1	0	1
nes_l	1	0	1	0	0
nes_l	1	1	1	1	0
nes_l	1	0	1	1	0
nes_l	1	0	1	1	0
nes_l	1	0	1	1	0
nes_l	1	0	1	1	0
nes_l	1	0	0	0	0
nes_l	1	0	0	1	0
nes_l	1	1	1	0	0
nes_l	1	0	1	1	0
nes_l	1	1	1	0	0
nes_l	1	1	1	1	0
ins_t	1	1	1	1	0
ins_t	1	0	1	1	0
ins_t	1	1	1	1	0
ban_c	1	0	0	1	0
ban_c	1	0	1	0	0
ban_c	1	0	1	1	0
ban_c	1	0	1	0	0
ban_c	1	0	0	0	0
ban_c	0	1	0	0	0
ban_c	1	0	0	1	0
ban_c	1	0	0	1	0
ban_c	1	1	1	0	0
ban_c	1	0	1	1	0
ban_c	1	0	1	0	0
ban_c	1	0	0	0	0
ban_c	1	0	0	1	0
ban_c	1	0	1	1	0
ban_c	1	0	1	1	0
ban_c	1	1	1	1	0
ban_c	1	1	0	1	0
ban_c	1	0	0	1	0
ban_c	1	1	0	0	0
ban_c	1	1	1	1	0
bre_t	1	0	1	0	0
bre_t	1	0	1	0	0
bre_t	1	1	1	0	0
bre_t	1	1	1	1	0
bre_t	1	1	1	1	0
bre_t	1	0	1	0	0
bre_t	1	1	1	0	0
bre_t	1	0	1	1	0
bre_t	1	0	1	0	0
bre_t	1	1	1	0	0
bre_t	1	1	1	0	0
bre_t	1	1	1	1	0
bre_t	1	1	1	1	0
bre_t	1	1	1	0	0
bre_t	0	1	1	0	0
bre_t	1	1	1	0	0
bre_t	1	0	0	0	0
bre_t	1	0	0	1	0
bre_t	1	0	0	0	0
bre_t	1	0	1	0	0
til_c	1	1	1	0	0
til_c	1	0	1	0	0
til_c	1	1	1	0	0
til_c	0	1	1	0	0
til_c	1	1	1	0	0
til_c	1	1	1	0	0
til_c	0	0	0	0	0
lev_t	0	1	1	0	1
lev_t	0	1	1	0	0
lev_t	0	1	1	0	0
lev_t	0	0	0	0	0
lev_t	0	0	0	0	0
lev_t	0	1	1	0	0
